timestamp,kind,run,out_dir,arch,hidden_dim,num_layers,hops_per_layer,mdk_use,data_root,seed,max_epochs,epochs_run,best_val_loss,best_epoch,train_seconds,split,checkpoint,n_scenarios,rmse,mae,csi_0p05,csi_0p3,report
2026-09-13T01:14:50,eval,L2_partA_gat,runs/L2_partA_gat,,,,,,data/scenarios_partA_v2,,,,,,,test,runs/L2_partA_gat/last.pt,49,0.827198;46.073281,0.609635;35.233664,0.6945,0.4129,runs\L2_partA_gat\eval_test.json
2026-09-13T01:15:06,eval,L2_partA_gat,runs/L2_partA_gat,,,,,,data/real_cases/family_mdx,,,,,,,test,runs/L2_partA_gat/last.pt,7,3.461712;487.884242,3.190074;441.132307,0.4108,0.3080,runs\L2_partA_gat\eval_test_family_mdx.json
2026-09-13T01:15:17,eval,L2_partA_gat,runs/L2_partA_gat,,,,,,data/real_cases/family_zxh,,,,,,,test,runs/L2_partA_gat/last.pt,6,0.283608;18.522398,0.248152;16.333383,0.9519,0.7743,runs\L2_partA_gat\eval_test_family_zxh.json
2026-09-13T01:15:29,eval,L2_partA_gat,runs/L2_partA_gat,,,,,,data/real_cases/family_wqh,,,,,,,test,runs/L2_partA_gat/last.pt,6,0.795856;51.419000,0.606599;40.786730,0.9026,0.8212,runs\L2_partA_gat\eval_test_family_wqh.json
2026-09-13T01:15:42,eval,L2_partA_gat,runs/L2_partA_gat,,,,,,data/real_cases/scenarios_1d,,,,,,,val,runs/L2_partA_gat/last.pt,5,2.064433;242.741819,1.476966;210.997503,0.9278,0.8469,runs\L2_partA_gat\eval_val_scenarios_1d.json
2026-09-13T11:04:13,eval,L2_partA_swegnn,runs/L2_partA_swegnn,,,,,,data/real_cases/family_zxh,,,,,,,test,runs/L2_partA_swegnn/last.pt,6,0.580623;22.674208,0.419284;15.971333,0.9410,0.7884,runs\L2_partA_swegnn\eval_test_family_zxh.json
2026-09-13T11:04:35,eval,L2_partA_gcn,runs/L2_partA_gcn,,,,,,data/real_cases/family_zxh,,,,,,,test,runs/L2_partA_gcn/last.pt,6,0.211604;9.769256,0.182727;8.634286,0.9931,0.8248,runs\L2_partA_gcn\eval_test_family_zxh.json
2026-09-13T11:53:10,train,MS_partA_swegnn_s1,runs\MS_partA_swegnn_s1,flow_mdk,32,2,2,False,data/scenarios_partA_v2,1,40,40,8.506870,2,391,,,,,,,,runs\MS_partA_swegnn_s1\history.json
2026-09-13T11:53:29,eval,MS_partA_swegnn_s1,runs/MS_partA_swegnn_s1,,,,,,data/scenarios_partA_v2,,,,,,,test,runs/MS_partA_swegnn_s1/last.pt,49,1.232184;54.071655,0.995491;41.480204,0.9623,0.5930,runs\MS_partA_swegnn_s1\eval_test.json
2026-09-13T11:53:42,eval,MS_partA_swegnn_s1,runs/MS_partA_swegnn_s1,,,,,,data/real_cases/family_mdx,,,,,,,test,runs/MS_partA_swegnn_s1/last.pt,7,2.306248;372.948268,1.725204;315.260847,0.9108,0.8787,runs\MS_partA_swegnn_s1\eval_test_family_mdx.json
2026-09-13T11:53:52,eval,MS_partA_swegnn_s1,runs/MS_partA_swegnn_s1,,,,,,data/real_cases/family_zxh,,,,,,,test,runs/MS_partA_swegnn_s1/last.pt,6,0.921212;44.373452,0.806763;39.915275,1.0000,0.9908,runs\MS_partA_swegnn_s1\eval_test_family_zxh.json
2026-09-13T11:54:02,eval,MS_partA_swegnn_s1,runs/MS_partA_swegnn_s1,,,,,,data/real_cases/family_wqh,,,,,,,test,runs/MS_partA_swegnn_s1/last.pt,6,1.159485;36.560123,0.883362;30.442804,0.9897,0.9738,runs\MS_partA_swegnn_s1\eval_test_family_wqh.json
2026-09-13T11:54:12,eval,MS_partA_swegnn_s1,runs/MS_partA_swegnn_s1,,,,,,data/real_cases/scenarios_1d,,,,,,,val,runs/MS_partA_swegnn_s1/last.pt,5,2.452050;206.282020,1.822197;170.841084,0.8772,0.8505,runs\MS_partA_swegnn_s1\eval_val_scenarios_1d.json
2026-09-13T12:03:01,train,MS_partA_flow_mdk_s1,runs\MS_partA_flow_mdk_s1,flow_mdk,32,3,1,True,data/scenarios_partA_v2,1,40,40,7.256001,4,521,,,,,,,,runs\MS_partA_flow_mdk_s1\history.json
2026-09-13T12:03:27,eval,MS_partA_flow_mdk_s1,runs/MS_partA_flow_mdk_s1,,,,,,data/scenarios_partA_v2,,,,,,,test,runs/MS_partA_flow_mdk_s1/last.pt,49,5.907347;81.345577,5.189720;68.366286,0.9582,0.5573,runs\MS_partA_flow_mdk_s1\eval_test.json
2026-09-13T12:03:44,eval,MS_partA_flow_mdk_s1,runs/MS_partA_flow_mdk_s1,,,,,,data/real_cases/family_mdx,,,,,,,test,runs/MS_partA_flow_mdk_s1/last.pt,7,11.709929;364.570269,8.007790;301.228646,0.9588,0.9492,runs\MS_partA_flow_mdk_s1\eval_test_family_mdx.json
2026-09-13T12:03:54,eval,MS_partA_flow_mdk_s1,runs/MS_partA_flow_mdk_s1,,,,,,data/real_cases/family_zxh,,,,,,,test,runs/MS_partA_flow_mdk_s1/last.pt,6,5.874798;93.411793,4.687041;71.920543,0.9990,0.9881,runs\MS_partA_flow_mdk_s1\eval_test_family_zxh.json
2026-09-13T12:04:05,eval,MS_partA_flow_mdk_s1,runs/MS_partA_flow_mdk_s1,,,,,,data/real_cases/family_wqh,,,,,,,test,runs/MS_partA_flow_mdk_s1/last.pt,6,6.154440;91.610994,4.424421;65.174853,0.9552,0.9415,runs\MS_partA_flow_mdk_s1\eval_test_family_wqh.json
